                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.530466    0.009958       0.819000        1.000000       0.820410        1.000000        0.815203         1.000000     0.826000      1.000000
RidgeClassifier              0.967987    0.011859       0.661333        1.000000       0.662727        1.000000        0.659732         1.000000     0.666000      1.000000
SVC                         10.255337    3.686634       0.830667        0.996583       0.829432        0.996590        0.835724         0.994688     0.823333      0.998500
SGDClassifier                0.325726    0.007633       0.790667        0.999250       0.773176        0.999249        0.841554         0.999833     0.717333      0.998667
Perceptron                   0.296990    0.009142       0.810333        1.000000       0.811290        1.000000        0.808328         1.000000     0.814667      1.000000
GaussianNB                   0.167875    0.032635       0.670000        0.898333       0.659592        0.902151        0.681382         0.869908     0.639333      0.937000
DecisionTreeClassifier       0.782453    0.009209       0.689333        0.833333       0.678893        0.827916        0.703754         0.856185     0.656667      0.802833
BaggingClassifier            5.959036    0.135328       0.748333        0.990083       0.730932        0.990013        0.786574         0.996791     0.683333      0.983333
AdaBoostClassifier           8.143613    0.197153       0.794333        0.858917       0.796789        0.859871        0.787460         0.854040     0.806667      0.865833
RandomForestClassifier       1.628059    0.029753       0.826333        0.922667       0.820608        0.921117        0.848470         0.939985     0.794667      0.903000
GradientBoostingClassifier  37.381578    0.014961       0.850000        0.999583       0.852674        0.999584        0.838112         0.999168     0.868000      1.000000
KNeighborsClassifier         0.081714    0.225680       0.502000        0.686167       0.640686        0.754307        0.501678         0.632756     0.890000      0.947333
MLPClassifier                4.018005    0.016068       0.825000        1.000000       0.823174        1.000000        0.832012         1.000000     0.814667      1.000000
