                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.721406    0.026511       0.818667        1.000000       0.816737        1.000000        0.825908         1.000000     0.808000      1.000000
RidgeClassifier              1.173414    0.019485       0.722667        1.000000       0.718628        1.000000        0.729425         1.000000     0.708667      1.000000
SVC                         10.232284    7.698383       0.822667        0.996667       0.819313        0.996677        0.835292         0.994037     0.804000      0.999333
SGDClassifier                0.340650    0.013258       0.785667        0.997167       0.777450        0.997156        0.812150         0.999330     0.758000      0.995000
Perceptron                   0.345923    0.011212       0.796000        0.999333       0.795272        0.999334        0.798868         0.999001     0.792000      0.999667
GaussianNB                   0.197800    0.067763       0.655000        0.910000       0.644363        0.914630        0.665251         0.870552     0.625333      0.963667
DecisionTreeClassifier       0.719324    0.019512       0.669667        0.773500       0.670012        0.773182        0.670157         0.774200     0.670667      0.772333
BaggingClassifier           12.138173    0.512344       0.779333        0.997833       0.771552        0.997829        0.799700         0.999331     0.745333      0.996333
AdaBoostClassifier           3.262482    0.150428       0.758333        0.808333       0.762554        0.810344        0.749874         0.801987     0.776000      0.819000
RandomForestClassifier       1.264924    0.039809       0.818667        0.919500       0.813378        0.917790        0.837514         0.937808     0.790667      0.898667
GradientBoostingClassifier  29.284518    0.019697       0.838333        0.999667       0.839430        0.999667        0.833766         0.999667     0.845333      0.999667
KNeighborsClassifier         0.080543    0.322949       0.505667        0.683833       0.647940        0.751337        0.503419         0.619772     0.909333      0.954333
MLPClassifier                3.642486    0.024854       0.818000        1.000000       0.812548        1.000000        0.838168         1.000000     0.788667      1.000000
