                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           1.058600    0.013691       0.839333        0.990500       0.839449        0.990503        0.838953         0.990174     0.840000      0.990833
RidgeClassifier              0.116278    0.014477       0.831000        0.954667       0.831327        0.954630        0.829532         0.955431     0.833333      0.953833
SVC                          2.942928    1.019569       0.801667        0.937333       0.805774        0.937924        0.790638         0.929194     0.822000      0.946833
SGDClassifier                0.356076    0.009223       0.840333        0.950333       0.840627        0.950322        0.839366         0.950684     0.842000      0.950000
Perceptron                   0.208968    0.009806       0.822000        0.915417       0.822139        0.915662        0.821652         0.912556     0.822667      0.918833
GaussianNB                   0.021724    0.015594       0.681000        0.698250       0.660562        0.678331        0.706027         0.726281     0.620667      0.636333
DecisionTreeClassifier       1.964346    0.008482       0.618333        0.821250       0.607943        0.818724        0.624684         0.830646     0.592667      0.807333
BaggingClassifier           10.001121    0.020258       0.642333        0.965667       0.636419        0.965730        0.647553         0.963668     0.626000      0.967833
AdaBoostClassifier          25.000431    0.051968       0.721667        0.767833       0.716678        0.764378        0.729634         0.775983     0.704667      0.753167
RandomForestClassifier       5.152294    0.030404       0.739667        0.965167       0.738848        0.965257        0.742097         0.962700     0.736000      0.967833
GradientBoostingClassifier  87.565678    0.010349       0.765333        1.000000       0.764791        1.000000        0.767152         1.000000     0.762667      1.000000
KNeighborsClassifier         0.010758    0.135566       0.582000        0.733917       0.542688        0.713989        0.598649         0.771676     0.496667      0.664500
MLPClassifier                2.959047    0.012531       0.847000        0.999917       0.847394        0.999917        0.845556         1.000000     0.849333      0.999833
