                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.269736    0.014016       0.904667        0.987583       0.904761        0.987612        0.903163         0.985569     0.906667      0.989667
RidgeClassifier              0.042287    0.015209       0.924667        0.962167       0.924349        0.962123        0.928285         0.963254     0.920667      0.961000
SVC                          3.084147    0.062993       0.888667        0.994167       0.888616        0.994174        0.888719         0.993352     0.888667      0.995000
SGDClassifier                0.133944    0.006760       0.902667        0.975167       0.903199        0.975227        0.898139         0.972970     0.908667      0.977500
Perceptron                   0.064180    0.007909       0.892000        0.957667       0.892712        0.957743        0.887171         0.956508     0.898667      0.959000
GaussianNB                   0.008761    0.008259       0.817667        0.843000       0.814220        0.840776        0.830643         0.852916     0.798667      0.829000
DecisionTreeClassifier       0.820956    0.006123       0.646333        0.814333       0.643260        0.812802        0.648715         0.819900     0.638000      0.806500
BaggingClassifier           20.327888    0.025529       0.712000        0.998833       0.703817        0.998832        0.724430         0.999666     0.684667      0.998000
AdaBoostClassifier           1.451577    0.010189       0.720000        0.746333       0.720078        0.748351        0.719972         0.742642     0.720667      0.754667
RandomForestClassifier       3.728550    0.033013       0.787333        0.990500       0.787662        0.990529        0.786986         0.987420     0.788667      0.993667
GradientBoostingClassifier  45.291938    0.010048       0.816667        1.000000       0.817416        1.000000        0.814282         1.000000     0.821333      1.000000
KNeighborsClassifier         0.004554    0.094764       0.593000        0.746917       0.635080        0.768044        0.575382         0.708962     0.708667      0.838000
MLPClassifier                1.940426    0.013785       0.899000        1.000000       0.899516        1.000000        0.895204         1.000000     0.904667      1.000000
