                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.767946    0.016242       0.846667        1.000000       0.848402        1.000000        0.839276         1.000000     0.858000      1.000000
RidgeClassifier              1.317450    0.014709       0.680333        1.000000       0.691218        1.000000        0.668436         1.000000     0.716000      1.000000
SVC                         11.685990    1.704276       0.834667        1.000000       0.836616        1.000000        0.826966         1.000000     0.846667      1.000000
SGDClassifier                0.564397    0.011600       0.797333        0.996667       0.762875        0.996654        0.917418         1.000000     0.654000      0.993333
Perceptron                   0.392524    0.010368       0.823667        1.000000       0.827105        1.000000        0.811723         1.000000     0.843333      1.000000
GaussianNB                   0.223733    0.057822       0.727000        0.903417       0.712757        0.907259        0.751544         0.872617     0.678000      0.944833
DecisionTreeClassifier       0.854486    0.012755       0.713000        0.797667       0.708589        0.792304        0.720028         0.814116     0.698000      0.772000
BaggingClassifier            3.487266    0.081371       0.757333        0.974333       0.757621        0.974301        0.756390         0.975612     0.759333      0.973000
AdaBoostClassifier           4.868718    0.129789       0.768667        0.790750       0.772581        0.793970        0.759678         0.781998     0.786000      0.806333
RandomForestClassifier       1.914950    0.040296       0.819667        0.881417       0.807242        0.874020        0.866856         0.932266     0.755333      0.822667
GradientBoostingClassifier  45.601783    0.021600       0.843000        0.995417       0.844845        0.995418        0.834099         0.995004     0.856000      0.995833
KNeighborsClassifier         0.090302    0.254204       0.501000        0.505500       0.666963        0.669120        0.500501         0.502765     0.999333      1.000000
MLPClassifier                5.105866    0.022647       0.854000        1.000000       0.851548        1.000000        0.865046         1.000000     0.838667      1.000000
