                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.915085    0.016462       0.982667        1.000000       0.982588        1.000000        0.985928         1.000000     0.979333      1.000000
RidgeClassifier              1.814460    0.019383       0.949667        1.000000       0.949485        1.000000        0.952502         1.000000     0.946667      1.000000
SVC                          9.793648    2.140964       0.983667        1.000000       0.983644        1.000000        0.984024         1.000000     0.983333      1.000000
SGDClassifier                0.555997    0.010622       0.932667        0.998167       0.937483        0.998172        0.892486         0.996353     0.990000      1.000000
Perceptron                   0.329542    0.009006       0.970000        1.000000       0.969853        1.000000        0.974488         1.000000     0.965333      1.000000
GaussianNB                   0.275992    0.053525       0.900667        0.985333       0.905892        0.985149        0.861785         0.997609     0.955333      0.973000
DecisionTreeClassifier       2.739956    0.018225       0.908667        0.943667       0.907821        0.943169        0.916750         0.951533     0.899333      0.935000
BaggingClassifier           30.400527    0.464517       0.949333        0.999083       0.949435        0.999084        0.946465         0.999001     0.952667      0.999167
AdaBoostClassifier          18.588259    0.382167       0.975333        0.999917       0.975382        0.999917        0.972877         1.000000     0.978000      0.999833
RandomForestClassifier       2.106241    0.032917       0.983333        0.992333       0.983266        0.992324        0.985938         0.993485     0.980667      0.991167
GradientBoostingClassifier  61.084055    0.017324       0.980333        0.999750       0.980258        0.999750        0.985428         0.999501     0.975333      1.000000
KNeighborsClassifier         0.122194    0.310551       0.543667        0.621083       0.171152        0.392760        0.934892         0.987962     0.094667      0.245167
MLPClassifier                4.685035    0.020079       0.978333        1.000000       0.978263        1.000000        0.980625         1.000000     0.976000      1.000000
