                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.766148    0.023715       0.985333        1.000000       0.985288        1.000000        0.988630         1.000000     0.982000      1.000000
RidgeClassifier              1.407272    0.021501       0.964667        1.000000       0.964539        1.000000        0.967930         1.000000     0.961333      1.000000
SVC                          7.956970    3.595388       0.984000        1.000000       0.984016        1.000000        0.983411         1.000000     0.984667      1.000000
SGDClassifier                0.553345    0.018033       0.960000        0.999167       0.960897        0.999168        0.940169         0.998338     0.982667      1.000000
Perceptron                   0.311785    0.011383       0.962333        1.000000       0.962223        1.000000        0.965865         1.000000     0.958667      1.000000
GaussianNB                   0.256504    0.089811       0.885333        0.989000       0.893352        0.988884        0.835493         0.998980     0.960000      0.979000
DecisionTreeClassifier       1.915950    0.021681       0.909333        0.940000       0.909236        0.940437        0.910512         0.933642     0.908000      0.947333
BaggingClassifier           22.491250    0.796711       0.951333        0.999833       0.951854        0.999833        0.941928         1.000000     0.962000      0.999667
AdaBoostClassifier          13.229759    0.468663       0.965667        0.996333       0.965441        0.996326        0.971000         0.998327     0.960000      0.994333
RandomForestClassifier       2.152439    0.070836       0.984333        0.990833       0.984275        0.990803        0.987919         0.993964     0.980667      0.987667
GradientBoostingClassifier  65.452710    0.030080       0.981000        1.000000       0.980860        1.000000        0.987845         1.000000     0.974000      1.000000
KNeighborsClassifier         0.134132    0.469784       0.566333        0.647500       0.229907        0.444963        0.947677         0.987660     0.139333      0.298000
MLPClassifier                4.744732    0.034621       0.974000        1.000000       0.973934        1.000000        0.976562         1.000000     0.971333      1.000000
