                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.236033    0.014610       0.903000        0.994167       0.903258        0.994178        0.899462         0.992697     0.907333      0.995667
RidgeClassifier              0.025335    0.013067       0.922667        0.966333       0.922183        0.966256        0.927259         0.968523     0.917333      0.964000
SVC                          1.276779    0.836945       0.887000        0.985167       0.886977        0.985253        0.886407         0.979576     0.888000      0.991000
SGDClassifier                0.100368    0.010877       0.896000        0.978167       0.896574        0.978165        0.890774         0.978672     0.902667      0.977667
Perceptron                   0.068903    0.007613       0.898000        0.969333       0.897756        0.969426        0.898396         0.966543     0.897333      0.972333
GaussianNB                   0.008930    0.011407       0.813000        0.845833       0.809650        0.843523        0.823370         0.856447     0.796667      0.831000
DecisionTreeClassifier       0.737919    0.006898       0.633333        0.855333       0.623596        0.854059        0.640630         0.861430     0.608000      0.847333
BaggingClassifier           15.136987    0.047998       0.719333        0.999500       0.710041        0.999500        0.734664         0.999334     0.687333      0.999667
AdaBoostClassifier           3.558521    0.019956       0.716000        0.741167       0.721984        0.745185        0.707504         0.733760     0.737333      0.757000
RandomForestClassifier       2.689727    0.047943       0.784667        0.964500       0.784263        0.964690        0.785625         0.959445     0.784000      0.970000
GradientBoostingClassifier  34.389425    0.015974       0.801000        0.987000       0.799880        0.987026        0.804462         0.985066     0.796000      0.989000
KNeighborsClassifier         0.007066    0.207335       0.651667        0.760667       0.688165        0.780806        0.623023         0.720141     0.768667      0.852667
MLPClassifier                1.569740    0.015717       0.900667        1.000000       0.900513        1.000000        0.901306         1.000000     0.900000      1.000000
