                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.795761    0.022396       0.844667        1.000000       0.844866        1.000000        0.843815         1.000000     0.846000      1.000000
RidgeClassifier              1.091064    0.022487       0.751000        1.000000       0.755877        1.000000        0.741805         1.000000     0.770667      1.000000
SVC                          9.231036    6.839998       0.818333        0.997667       0.801167        0.997670        0.884085         0.996677     0.732667      0.998667
SGDClassifier                0.515890    0.013651       0.749333        0.994833       0.678327        0.994808        0.944561         0.999664     0.530000      0.990000
Perceptron                   0.343012    0.013228       0.817333        1.000000       0.818905        1.000000        0.811990         1.000000     0.826000      1.000000
GaussianNB                   0.206370    0.067987       0.710667        0.913333       0.695191        0.917684        0.733834         0.874135     0.660667      0.966000
DecisionTreeClassifier       0.758592    0.019987       0.726667        0.825667       0.718706        0.819491        0.740552         0.849462     0.699333      0.791667
BaggingClassifier            9.989615    0.528658       0.787667        0.997667       0.777089        0.997660        0.817493         1.000000     0.740667      0.995333
AdaBoostClassifier          11.688373    0.505496       0.813000        0.867500       0.815648        0.868972        0.803735         0.859498     0.828000      0.878667
RandomForestClassifier       1.542993    0.055150       0.808000        0.880500       0.794338        0.873573        0.853430         0.927437     0.743333      0.825667
GradientBoostingClassifier  30.405313    0.021081       0.831333        0.999167       0.830090        0.999167        0.836392         0.998668     0.824000      0.999667
KNeighborsClassifier         0.097184    0.401015       0.500667        0.504333       0.666963        0.668598        0.500334         0.502176     1.000000      1.000000
MLPClassifier                5.363536    0.042284       0.846333        1.000000       0.842126        1.000000        0.865512         1.000000     0.820000      1.000000
