                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.643771    0.013455       0.919333        1.000000       0.919949        1.000000        0.913387         1.000000     0.926667      1.000000
RidgeClassifier              0.088276    0.014677       0.923333        0.988583       0.923796        0.988552        0.919830         0.991131     0.928000      0.986000
SVC                          1.658284    0.129948       0.915333        1.000000       0.916124        1.000000        0.907849         1.000000     0.924667      1.000000
SGDClassifier                0.298065    0.013157       0.910333        0.991167       0.911157        0.991176        0.903217         0.990864     0.919333      0.991500
Perceptron                   0.281251    0.014250       0.915667        0.986417       0.915586        0.986462        0.916514         0.984815     0.914667      0.988167
GaussianNB                   0.028105    0.020879       0.738667        0.746250       0.737948        0.746183        0.739570         0.746374     0.736667      0.746000
DecisionTreeClassifier       2.238207    0.007787       0.721333        0.851833       0.716758        0.851744        0.725930         0.852461     0.710000      0.851667
BaggingClassifier           42.221606    0.066699       0.806333        0.998500       0.799457        0.998498        0.827487         0.999666     0.774000      0.997333
AdaBoostClassifier           8.867790    0.032333       0.765667        0.796333       0.766015        0.798125        0.763449         0.791259     0.769333      0.805167
RandomForestClassifier       4.218931    0.028629       0.799000        0.921500       0.795841        0.920734        0.807649         0.929823     0.784667      0.911833
GradientBoostingClassifier  89.699999    0.015050       0.853333        0.982583       0.852126        0.982552        0.857286         0.984454     0.848000      0.980667
KNeighborsClassifier         0.010239    0.189753       0.694333        0.796750       0.726605        0.812543        0.658320         0.754057     0.811333      0.881000
MLPClassifier                2.519516    0.014641       0.926667        1.000000       0.926754        1.000000        0.925635         1.000000     0.928000      1.000000
