                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.879165    0.017451       0.988667        1.000000       0.988566        1.000000        0.995955         1.000000     0.981333      1.000000
RidgeClassifier              1.767189    0.018644       0.966333        1.000000       0.965614        1.000000        0.986155         1.000000     0.946000      1.000000
SVC                          9.952911    2.110457       0.986000        1.000000       0.985876        1.000000        0.993274         1.000000     0.978667      1.000000
SGDClassifier                0.478759    0.010304       0.893333        0.999583       0.904094        0.999584        0.827795         0.999501     0.997333      0.999667
Perceptron                   0.629666    0.013838       0.971333        1.000000       0.971027        1.000000        0.981045         1.000000     0.961333      1.000000
GaussianNB                   0.370910    0.071949       0.906333        0.992917       0.912637        0.992897        0.856160         0.995643     0.977333      0.990167
DecisionTreeClassifier       2.571964    0.018052       0.929000        0.944417       0.928887        0.944355        0.929933         0.945283     0.928000      0.943500
BaggingClassifier           39.475901    0.459456       0.941000        0.998667       0.941596        0.998667        0.932823         0.998501     0.950667      0.998833
AdaBoostClassifier          22.326004    0.440904       0.980000        0.993333       0.979920        0.993315        0.982599         0.995813     0.977333      0.990833
RandomForestClassifier       2.737209    0.044474       0.985667        0.991667       0.985710        0.991664        0.983566         0.991996     0.988000      0.991333
GradientBoostingClassifier  65.716773    0.020274       0.978667        0.999833       0.978605        0.999833        0.980681         1.000000     0.976667      0.999667
KNeighborsClassifier         0.132820    0.353379       0.493667        0.773583       0.417903        0.830001        0.606153         0.749463     0.567333      0.976500
MLPClassifier               10.828500    0.029653       0.983667        1.000000       0.983531        1.000000        0.991244         1.000000     0.976000      1.000000
