                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.388117    0.013671       0.830000        0.922000       0.828878        0.921496        0.834582         0.927415     0.823333      0.915667
RidgeClassifier              0.039149    0.019434       0.841333        0.907000       0.837719        0.905228        0.857832         0.922785     0.818667      0.888333
SVC                         14.140639    0.075193       0.824667        0.933333       0.823624        0.933161        0.828975         0.935685     0.818667      0.930667
SGDClassifier                0.227560    0.009171       0.823667        0.905333       0.823521        0.905298        0.824519         0.905806     0.822667      0.904833
Perceptron                   0.053655    0.008902       0.811667        0.861583       0.811373        0.860542        0.812807         0.867814     0.810000      0.853667
GaussianNB                   0.010834    0.013671       0.764000        0.806000       0.763886        0.806783        0.764820         0.803483     0.763333      0.810167
DecisionTreeClassifier       1.062921    0.008091       0.663000        0.824583       0.661866        0.822779        0.664240         0.831957     0.660000      0.814833
BaggingClassifier           22.824756    0.029620       0.722667        0.996750       0.698940        0.996741        0.765225         0.998831     0.644000      0.994667
AdaBoostClassifier           9.433936    0.032405       0.758333        0.827750       0.747892        0.821270        0.782308         0.853465     0.716667      0.791500
RandomForestClassifier       4.552798    0.039508       0.750000        0.951083       0.741539        0.950645        0.768282         0.958980     0.718000      0.942500
GradientBoostingClassifier  48.507297    0.029516       0.774000        1.000000       0.769281        1.000000        0.785142         1.000000     0.754667      1.000000
KNeighborsClassifier         0.004587    0.096035       0.406000        0.675500       0.373018        0.660563        0.394477         0.692152     0.354000      0.631833
MLPClassifier                1.895387    0.013156       0.803333        1.000000       0.801258        1.000000        0.810250         1.000000     0.792667      1.000000
