                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.409801    0.013020       0.834333        0.916524       0.832632        0.915949        0.841798         0.922279     0.824681      0.909714
RidgeClassifier              0.041585    0.014225       0.840667        0.903762       0.836479        0.901809        0.858715         0.920471     0.816006      0.883903
SVC                          2.265665    0.445193       0.799333        0.963429       0.794456        0.963084        0.813988         0.972256     0.776699      0.954095
SGDClassifier                0.204513    0.008655       0.830000        0.906286       0.827102        0.904791        0.841351         0.919393     0.814022      0.890666
Perceptron                   0.064159    0.008633       0.807333        0.859381       0.805412        0.859806        0.813369         0.857514     0.798672      0.862189
GaussianNB                   0.013584    0.012857       0.762667        0.802333       0.762862        0.803130        0.763301         0.799912     0.763355      0.806382
DecisionTreeClassifier       1.131080    0.007845       0.676333        0.826048       0.677456        0.825029        0.674894         0.830050     0.681310      0.820860
BaggingClassifier            6.284672    0.011514       0.684333        0.965619       0.673506        0.965473        0.697453         0.969568     0.652005      0.961430
AdaBoostClassifier           4.802708    0.018793       0.752667        0.784381       0.736396        0.770255        0.788204         0.824259     0.691319      0.722952
RandomForestClassifier       3.702533    0.032346       0.749667        0.949095       0.741940        0.948609        0.765607         0.957785     0.719987      0.939619
GradientBoostingClassifier  48.314808    0.008643       0.760333        1.000000       0.755817        1.000000        0.771282         1.000000     0.741321      1.000000
KNeighborsClassifier         0.005037    0.074163       0.515667        0.668476       0.465817        0.642139        0.518725         0.697572     0.424035      0.594954
MLPClassifier                2.978134    0.010966       0.808667        1.000000       0.806582        1.000000        0.814800         1.000000     0.799344      1.000000
