                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.747121    0.012688       0.928000        1.000000       0.928932        1.000000        0.919101         1.000000     0.939349      1.000000
RidgeClassifier              0.109382    0.012912       0.925333        0.987714       0.925536        0.987671        0.924631         0.991181     0.926677      0.984191
SVC                          1.945350    0.085774       0.917333        1.000000       0.918265        1.000000        0.909886         1.000000     0.927342      1.000000
SGDClassifier                0.200620    0.007066       0.929667        0.988286       0.929989        0.988259        0.926977         0.990442     0.933358      0.986095
Perceptron                   0.176749    0.007204       0.919333        0.985810       0.920320        0.985851        0.910442         0.983833     0.930680      0.987904
GaussianNB                   0.022460    0.009042       0.741000        0.745048       0.740143        0.745042        0.741883         0.745045     0.739365      0.745048
DecisionTreeClassifier       2.227322    0.007271       0.727333        0.852000       0.726481        0.850421        0.729250         0.859645     0.725296      0.841524
BaggingClassifier           48.273984    0.029573       0.804667        0.998381       0.797464        0.998379        0.825317         0.999523     0.772699      0.997238
AdaBoostClassifier           9.768989    0.018541       0.813333        0.841333       0.812904        0.840766        0.814194         0.843775     0.812646      0.837809
RandomForestClassifier       5.357382    0.029872       0.819667        0.967714       0.816458        0.967526        0.831622         0.973221     0.802687      0.961905
GradientBoostingClassifier  98.794796    0.008871       0.856333        0.977238       0.855746        0.977203        0.858681         0.978700     0.853997      0.975715
KNeighborsClassifier         0.008843    0.105653       0.696333        0.798667       0.728536        0.815355        0.660040         0.752982     0.813976      0.889048
MLPClassifier                3.516995    0.014586       0.930000        1.000000       0.930150        1.000000        0.930183         1.000000     0.930670      1.000000
