                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.758860    0.022697       0.988333        1.000000       0.988243        1.000000        0.995943         1.000000     0.980667      1.000000
RidgeClassifier              1.356446    0.024260       0.975333        1.000000       0.974974        1.000000        0.989034         1.000000     0.961333      1.000000
SVC                          7.443390    3.563145       0.987333        1.000000       0.987230        1.000000        0.995272         1.000000     0.979333      1.000000
SGDClassifier                0.426358    0.011241       0.933333        1.000000       0.933440        1.000000        0.941244         1.000000     0.935333      1.000000
Perceptron                   0.405883    0.011187       0.968000        1.000000       0.967746        1.000000        0.975634         1.000000     0.960000      1.000000
GaussianNB                   0.259275    0.113268       0.890333        0.995333       0.898736        0.995317        0.835386         0.998658     0.972667      0.992000
DecisionTreeClassifier       2.119750    0.028519       0.922333        0.949000       0.921746        0.948761        0.929063         0.952941     0.914667      0.944667
BaggingClassifier           27.297689    0.798275       0.939333        0.998833       0.939905        0.998834        0.931320         0.998669     0.948667      0.999000
AdaBoostClassifier          17.879787    0.710638       0.978667        0.999667       0.978668        0.999666        0.979377         1.000000     0.978000      0.999333
RandomForestClassifier       2.060007    0.059934       0.984000        0.991167       0.984036        0.991158        0.982127         0.992326     0.986000      0.990000
GradientBoostingClassifier  55.077445    0.029687       0.981667        1.000000       0.981547        1.000000        0.987882         1.000000     0.975333      1.000000
KNeighborsClassifier         0.129673    0.467534       0.501333        0.888167       0.275166        0.913898        0.685945         0.866826     0.328667      0.992000
MLPClassifier                5.829563    0.039369       0.979333        0.999833       0.979085        0.999833        0.990473         1.000000     0.968000      0.999667
